Name,Age,Gender,Email,Phone No.,Programming_Skills,Coding_Skills_Years,Job_Experience_NumCompanies,Previous_Salary,Desired_Salary,Projects,Internships,Education,Gap_Years,Shortlisting_class
Bhanumati De,53,Female,bhanumati.de92@yahoo.com,7684044315,5,13,4,1942083,2675546,14,5,M.Tech,0,Shortlisted
Hitesh Hayer,49,Male,hitesh.hayer7@gmail.com,8255534632,0,1,0,349644,688286,2,0,Diploma,0,Rejected
Nathaniel Khanna,39,Male,nathaniel.khanna29@gmail.com,6783492019,5,6,5,3786459,4461402,13,5,M.Tech,0,Shortlisted
Xavier Behl,42,Male,xavier.behl14@outlook.com,9834244737,3,3,1,552003,696662,3,1,MCA,1,Rejected
Harrison Roy,34,Male,harrison.roy32@yahoo.com,9408794057,4,10,4,4260504,5578194,20,2,B.E.,0,Shortlisted
Rajeshri Gera,31,Female,rajeshri.gera85@gmail.com,8768572040,3,3,0,312146,389525,3,0,B.E.,4,Rejected
Yadavi Singhal,31,Female,yadavi.singhal67@gmail.com,7583666186,6,14,2,2685986,3031615,14,5,B.E.,0,Shortlisted
Aarav Sarna,31,Male,aarav.sarna31@gmail.com,6818031046,4,7,3,3658435,4869169,5,2,B.E.,0,Shortlisted
Lekha Ghosh,27,Female,lekha.ghosh52@outlook.com,9212250243,6,9,4,3187626,3544681,14,4,BSc Computer Science,0,Shortlisted
Kashvi Jain,24,Female,kashvi.jain7@outlook.com,6398256976,2,3,1,184352,244464,0,0,B.E.,1,Rejected
Jasmit Bose,30,Female,jasmit.bose76@outlook.com,8453069457,2,3,0,731177,1240774,0,1,Diploma,2,Rejected
Falan Buch,34,Male,falan.buch25@gmail.com,7722085000,0,1,2,975127,1520669,3,1,MSc,4,Shortlisted
Jackson Bhasin,40,Male,jackson.bhasin89@gmail.com,9253641054,4,15,3,1628007,1847345,15,2,M.Tech,0,Shortlisted
Orinder Bal,42,Male,orinder.bal79@yahoo.com,9197485531,3,1,2,871693,1379428,1,1,MSc,3,Rejected
Vinaya Soman,48,Female,vinaya.soman81@outlook.com,6860649939,2,2,2,593824,1026810,1,1,MSc,1,Rejected
Onveer Sidhu,39,Male,onveer.sidhu46@gmail.com,7181558257,9,15,5,1432073,1760338,14,5,BSc Computer Science,1,Shortlisted
Xavier Master,35,Male,xavier.master2@gmail.com,6638489750,6,9,4,3027319,3728809,15,5,B.E.,0,Shortlisted
Mugdha Krishnan,38,Female,mugdha.krishnan52@gmail.com,8349923745,6,9,3,3371815,4704397,10,3,M.Tech,0,Shortlisted
Christopher Mittal,32,Male,christopher.mittal77@yahoo.com,9111335130,8,8,5,986658,1242075,9,4,B.E.,0,Shortlisted
Guneet Batta,51,Male,guneet.batta71@yahoo.com,9930585817,0,3,1,427196,810342,0,1,MSc,3,Rejected
Widisha Wali,43,Female,widisha.wali76@gmail.com,6174938053,3,2,1,47885,89722,1,0,B.E.,1,Rejected
Janya Vora,34,Female,janya.vora37@outlook.com,7846878464,10,12,4,1936622,2530375,14,3,BSc Computer Science,0,Shortlisted
Aradhana Date,25,Female,aradhana.date3@gmail.com,8396096266,3,4,5,2034853,2736383,6,4,BSc Computer Science,0,Shortlisted
Utkarsh Warrior,27,Male,utkarsh.warrior66@yahoo.com,7854346981,3,2,0,928499,1444304,2,0,MCA,2,Rejected
Akshay Kadakia,44,Male,akshay.kadakia64@outlook.com,8742843573,5,10,3,4382973,5059379,8,3,BSc Computer Science,0,Shortlisted
Waida Tara,32,Female,waida.tara75@yahoo.com,8254999871,5,5,2,3947516,4808668,18,4,MCA,0,Shortlisted
Ekalinga Aurora,52,Male,ekalinga.aurora57@outlook.com,9955828530,6,5,4,2517673,3435253,11,5,M.Tech,0,Shortlisted
Chaman Sen,25,Female,chaman.sen51@yahoo.com,9814327167,2,2,2,846606,1224435,2,0,BSc Computer Science,3,Rejected
Jalsa Sankar,25,Female,jalsa.sankar2@yahoo.com,9475211669,3,3,1,687602,977016,0,1,MCA,0,Rejected
Hritik Arya,41,Male,hritik.arya52@yahoo.com,7753230003,1,2,0,345033,516452,2,0,MCA,3,Shortlisted
Januja Master,30,Female,januja.master50@gmail.com,6895253915,3,7,3,864096,1107575,10,1,M.Tech,0,Shortlisted
Jacob Om,43,Male,jacob.om85@gmail.com,8762810161,4,15,3,2365786,3289983,9,2,MCA,0,Shortlisted
Patrick Lad,22,Male,patrick.lad48@outlook.com,9648569091,3,1,2,907806,1559389,2,1,B.E.,0,Rejected
Shivani Kala,37,Female,shivani.kala33@yahoo.com,6432437968,1,0,1,156690,221804,0,1,MCA,4,Rejected
Eesha Narayanan,27,Female,eesha.narayanan27@gmail.com,6237907978,7,6,3,1612831,2132746,10,4,B.E.,0,Shortlisted
Chakradev Sabharwal,31,Male,chakradev.sabharwal12@outlook.com,8908756494,1,2,0,742532,1358533,1,0,MCA,3,Rejected
Garima Ganesan,49,Female,garima.ganesan93@gmail.com,9178704049,0,0,2,149338,183313,3,1,MCA,2,Rejected
Akshay Mandal,49,Male,akshay.mandal34@yahoo.com,6900987860,2,0,1,189158,337087,1,0,BSc Computer Science,4,Rejected
Anya Rege,36,Female,anya.rege33@gmail.com,6524737744,9,12,3,3415291,3902137,5,5,B.E.,1,Rejected
Mitesh Bajwa,31,Male,mitesh.bajwa72@outlook.com,9937629608,2,0,0,719483,1425545,1,1,MBA,0,Rejected
Mitesh Khalsa,54,Male,mitesh.khalsa86@outlook.com,8110305237,3,4,2,1838171,2207164,10,1,B.E.,1,Shortlisted
Ranveer Chana,26,Male,ranveer.chana61@yahoo.com,6719864094,6,14,4,1876887,2465386,17,3,B.E.,0,Shortlisted
Nihal Rama,40,Male,nihal.rama80@gmail.com,8818107134,0,1,1,214188,356078,2,0,BSc Computer Science,0,Rejected
Bishakha Agarwal,50,Female,bishakha.agarwal54@yahoo.com,8929843439,8,9,3,2365689,2968501,6,5,BSc Computer Science,0,Shortlisted
Neha Taneja,22,Female,neha.taneja7@gmail.com,6459293446,8,13,2,2182421,2657853,9,3,B.E.,0,Shortlisted
Arjun Acharya,39,Male,arjun.acharya61@yahoo.com,8139124893,9,15,4,838706,953702,17,4,B.E.,0,Shortlisted
Kevin Viswanathan,26,Male,kevin.viswanathan95@outlook.com,6207888313,3,12,5,2068403,2498433,17,5,MCA,0,Shortlisted
Balvan Basak,36,Male,balvan.basak90@gmail.com,8841274188,9,12,4,1114367,1332587,12,2,M.Tech,0,Shortlisted
Kashvi More,40,Female,kashvi.more12@gmail.com,9222396996,1,0,1,20484,39781,0,1,MCA,1,Rejected
Faris Som,35,Male,faris.som71@outlook.com,7456789934,0,0,2,147471,239349,0,1,MCA,1,Rejected
Jack Madan,36,Male,jack.madan3@yahoo.com,7263773804,8,11,3,2476409,2815370,17,5,B.E.,1,Shortlisted
Charan Sheth,48,Male,charan.sheth9@yahoo.com,8670295685,3,3,1,177374,321058,3,0,BCA,0,Rejected
Anirudh Sharma,52,Male,anirudh.sharma31@yahoo.com,6571266243,4,10,4,2383847,3284209,5,3,M.Tech,0,Shortlisted
Ansh Palla,21,Male,ansh.palla96@yahoo.com,8856135734,4,10,5,2541443,3417534,12,3,M.Tech,0,Shortlisted
Manthan Kumar,23,Male,manthan.kumar70@outlook.com,6498914367,4,6,2,3308754,3691444,10,5,M.Tech,0,Shortlisted
Fiyaz Mane,51,Male,fiyaz.mane53@yahoo.com,9788719156,3,1,1,342328,416195,4,1,M.Tech,0,Rejected
Bakhshi Buch,22,Male,bakhshi.buch22@outlook.com,9377790812,9,14,3,4389621,5626910,5,2,B.E.,0,Shortlisted
Yashawini Kota,34,Female,yashawini.kota84@yahoo.com,7252305990,3,3,2,957989,1676375,1,0,Diploma,1,Rejected
Udarsh Sane,26,Male,udarsh.sane44@yahoo.com,7569257311,3,14,3,3611393,4062807,5,2,M.Tech,0,Shortlisted
Banjeet Kuruvilla,31,Male,banjeet.kuruvilla85@yahoo.com,6428771912,2,0,0,670897,937739,3,1,MBA,1,Rejected
Vasudha Rege,35,Female,vasudha.rege73@outlook.com,9895387631,1,0,2,424107,727322,0,0,MBA,0,Rejected
Faraj Sura,24,Male,faraj.sura57@outlook.com,9138439367,4,8,2,3593318,4162258,7,1,M.Tech,0,Shortlisted
Harish Roy,39,Male,harish.roy84@gmail.com,9808751545,1,3,2,52250,98542,0,1,MCA,3,Rejected
Yuvraj Murty,24,Male,yuvraj.murty49@outlook.com,9931241104,1,1,1,676354,939756,0,0,MBA,0,Rejected
Hemangini Parmer,45,Female,hemangini.parmer51@yahoo.com,9775405944,1,0,2,535805,877573,0,0,M.Tech,0,Rejected
Aadi Panchal,45,Male,aadi.panchal69@gmail.com,9143556912,0,2,2,543777,795257,2,0,Diploma,1,Rejected
Laban Kota,43,Male,laban.kota19@outlook.com,7343361120,8,14,4,1673318,1842961,13,2,BSc Computer Science,0,Shortlisted
Quincy Bera,26,Male,quincy.bera82@gmail.com,8876927575,3,5,3,1556397,2052651,20,5,BSc Computer Science,0,Shortlisted
Dipta Jhaveri,31,Female,dipta.jhaveri35@yahoo.com,6245680252,10,4,3,4430177,5840749,19,4,MCA,0,Shortlisted
Gaurav Jani,26,Male,gaurav.jani81@yahoo.com,7726638264,2,2,0,956666,1358248,1,0,MBA,0,Rejected
Rachita Agrawal,37,Female,rachita.agrawal3@gmail.com,7604069789,3,14,2,4437942,5691825,20,3,B.E.,0,Shortlisted
Yahvi Butala,54,Female,yahvi.butala89@outlook.com,8464156115,3,3,0,732889,1464367,2,1,BCA,3,Rejected
Vansha Brar,53,Female,vansha.brar94@yahoo.com,8800117081,3,8,3,1355832,1868614,20,4,M.Tech,0,Shortlisted
Champak Sama,46,Male,champak.sama55@gmail.com,7806537748,5,8,3,1500236,2027512,8,5,B.E.,0,Shortlisted
Onkar Zachariah,49,Male,onkar.zachariah33@yahoo.com,8374691961,1,3,0,673503,912630,4,1,B.E.,2,Rejected
Sneha Baria,48,Female,sneha.baria19@gmail.com,7144255230,3,0,2,807544,1602449,0,1,BSc Computer Science,2,Rejected
Tanveer Sani,37,Male,tanveer.sani19@outlook.com,7544314046,3,0,1,962230,1393432,2,0,MSc,3,Shortlisted
Dalbir Sem,39,Male,dalbir.sem35@gmail.com,9175653313,0,2,1,112575,142909,0,0,MCA,4,Rejected
Benjamin Deo,31,Male,benjamin.deo31@yahoo.com,6484091710,3,0,1,780253,1378015,1,0,MBA,1,Rejected
Qabil Ganguly,25,Male,qabil.ganguly18@outlook.com,9459896663,2,2,2,127181,167795,4,0,Diploma,4,Rejected
Lajita Khurana,54,Female,lajita.khurana70@gmail.com,6981429582,2,0,0,506783,614382,4,1,MCA,1,Rejected
Ekavir Shan,35,Male,ekavir.shan58@gmail.com,8335278291,2,2,2,163164,300628,3,0,Diploma,0,Rejected
Raghav Dora,41,Male,raghav.dora12@yahoo.com,8949455424,3,3,0,627911,1158697,4,1,B.E.,0,Rejected
Damyanti Shroff,45,Female,damyanti.shroff43@gmail.com,6356198613,4,15,2,890474,1230165,12,5,M.Tech,0,Shortlisted
Akshay Sangha,50,Male,akshay.sangha48@outlook.com,9520689835,6,5,2,3775179,4805545,19,2,B.E.,0,Shortlisted
Akshay Nazareth,31,Male,akshay.nazareth3@yahoo.com,9599762161,6,11,4,3386839,4579901,15,2,B.E.,0,Shortlisted
Nicholas Sachar,22,Male,nicholas.sachar32@yahoo.com,8978825445,3,2,2,789500,999575,3,1,M.Tech,3,Rejected
Tanish Balay,35,Male,tanish.balay6@gmail.com,6265845657,6,4,5,3038750,3544150,18,2,MCA,0,Shortlisted
Sara Bhandari,39,Female,sara.bhandari51@outlook.com,9721956995,6,14,4,2860959,4002161,9,3,M.Tech,0,Rejected
Quincy Bal,53,Male,quincy.bal24@gmail.com,7558355888,7,5,3,2494653,2745265,13,2,B.E.,1,Shortlisted
Rachana Kamdar,29,Female,rachana.kamdar68@yahoo.com,7674816293,3,0,0,755865,1182389,3,0,MSc,1,Rejected
Rajata Gour,41,Female,rajata.gour85@outlook.com,7867801171,4,4,5,2743307,3192605,16,4,B.E.,0,Shortlisted
Vanya Amble,53,Female,vanya.amble12@gmail.com,8400000606,5,11,4,1784219,2078558,16,5,B.E.,0,Shortlisted
Omkaar Agrawal,34,Male,omkaar.agrawal55@gmail.com,7707256587,7,7,5,1279241,1516598,12,3,M.Tech,0,Shortlisted
Yug Bala,50,Male,yug.bala23@outlook.com,9492145355,3,2,1,638400,1052411,2,0,BCA,2,Rejected
Ishani Sani,52,Female,ishani.sani3@outlook.com,6809597434,6,15,5,2506365,3282568,20,4,M.Tech,0,Shortlisted
Ekaja Choudhury,44,Female,ekaja.choudhury50@gmail.com,7172559028,9,11,3,1354436,1695659,8,4,MCA,0,Shortlisted
Rajata Saxena,46,Female,rajata.saxena61@yahoo.com,7148830515,7,12,2,1583646,2026200,19,1,BSc Computer Science,0,Rejected
Vyanjana Balasubramanian,23,Female,vyanjana.balasubramanian40@outlook.com,9653235275,3,7,3,974006,1300819,10,1,B.E.,1,Shortlisted
Anya Sarkar,52,Female,anya.sarkar3@outlook.com,7502271159,5,11,5,3098116,4130549,15,2,B.E.,0,Shortlisted
Liam Raval,49,Male,liam.raval67@yahoo.com,6194840626,3,2,2,845773,1330648,3,0,B.E.,0,Rejected
Jacob Bath,46,Male,jacob.bath61@outlook.com,7768833022,2,2,1,920439,1770940,3,1,MCA,3,Rejected
Harini Kothari,26,Female,harini.kothari80@gmail.com,8679403822,1,2,1,546313,686364,3,1,M.Tech,1,Rejected
Rishi Sodhi,39,Male,rishi.sodhi11@outlook.com,6217779989,1,2,0,488803,831514,3,0,M.Tech,1,Rejected
Darika Brar,25,Female,darika.brar10@outlook.com,7574791307,4,8,4,3777870,5076439,12,1,BSc Computer Science,0,Shortlisted
Adweta Chand,48,Female,adweta.chand37@yahoo.com,6885939904,3,0,2,55555,77078,3,1,M.Tech,3,Rejected
Kalpit Magar,48,Male,kalpit.magar50@outlook.com,8256852498,3,0,1,49919,69359,3,0,MBA,2,Rejected
Zashil Chanda,39,Male,zashil.chanda90@outlook.com,9473797157,3,6,4,1874949,2394059,17,1,M.Tech,0,Shortlisted
Turvi Randhawa,41,Female,turvi.randhawa17@yahoo.com,6460452044,3,3,2,863451,1495310,1,0,B.E.,0,Rejected
Libni Chand,24,Female,libni.chand33@outlook.com,9549393975,8,12,3,2683258,3272845,20,4,B.E.,0,Shortlisted
Aarnav Seshadri,35,Male,aarnav.seshadri92@yahoo.com,6697801527,10,10,5,3317116,4347790,11,4,M.Tech,0,Shortlisted
Orinder Ramachandran,46,Male,orinder.ramachandran54@gmail.com,7333005212,6,7,3,3766438,4563696,19,2,MCA,0,Shortlisted
Dominic Pradhan,44,Male,dominic.pradhan89@yahoo.com,8480357845,5,13,2,2108828,2884990,15,1,MCA,0,Shortlisted
Brinda Virk,42,Female,brinda.virk70@yahoo.com,9125044725,2,1,1,405780,785882,1,1,Diploma,0,Rejected
Vamakshi Butala,28,Female,vamakshi.butala19@gmail.com,6831351323,3,0,0,443965,587960,3,1,BCA,3,Rejected
Guneet Kari,27,Male,guneet.kari96@gmail.com,8662289658,6,14,3,1980142,2392266,13,2,M.Tech,0,Shortlisted
Hemani Prashad,51,Female,hemani.prashad55@gmail.com,8392994699,6,8,5,976378,1328224,18,1,BSc Computer Science,0,Shortlisted
Devansh Doctor,53,Male,devansh.doctor36@outlook.com,9754321150,3,3,1,106913,138939,0,1,MBA,1,Rejected
Naksh Mangal,43,Male,naksh.mangal52@gmail.com,8934582026,3,2,0,238683,335184,2,0,M.Tech,3,Rejected
Jyoti Bhatia,35,Female,jyoti.bhatia65@gmail.com,8272079442,8,15,5,1326684,1845938,20,4,MCA,0,Shortlisted
Anita Seshadri,46,Female,anita.seshadri37@yahoo.com,6175579610,5,13,5,3675012,4542463,18,1,BSc Computer Science,0,Shortlisted
Amaira Nair,53,Female,amaira.nair75@gmail.com,9842929918,7,4,4,3962704,4570165,10,3,B.E.,1,Shortlisted
Aishani Luthra,49,Female,aishani.luthra48@gmail.com,7311317249,6,13,2,3723304,4463431,6,5,M.Tech,1,Shortlisted
Ranveer Rout,32,Male,ranveer.rout56@outlook.com,6576057497,1,0,1,654443,1057316,0,0,B.E.,0,Rejected
Megha Tiwari,45,Female,megha.tiwari42@gmail.com,7440874173,10,11,4,3439310,4033599,7,4,M.Tech,0,Shortlisted
Vasudha Wable,52,Female,vasudha.wable44@yahoo.com,9132030368,10,7,4,3889404,5258932,17,5,B.E.,0,Shortlisted
Rajata Bawa,28,Female,rajata.bawa55@gmail.com,7661866910,10,15,5,956309,1305282,8,1,BSc Computer Science,0,Shortlisted
Harita Mukherjee,30,Female,harita.mukherjee66@outlook.com,6904364192,0,3,2,191980,274997,3,1,BCA,2,Rejected
Dipta Menon,44,Female,dipta.menon61@yahoo.com,7564884470,3,14,4,4141530,4928482,6,5,B.E.,1,Shortlisted
Viraj Sama,48,Male,viraj.sama84@gmail.com,8389650176,3,3,2,711171,1389280,1,0,B.E.,4,Shortlisted
Laban Chaudry,49,Male,laban.chaudry89@outlook.com,9146666061,6,11,3,3618032,4187915,15,3,MCA,0,Shortlisted
Caleb Kibe,33,Male,caleb.kibe64@yahoo.com,9506022346,10,12,4,1043549,1167480,20,5,BSc Computer Science,0,Shortlisted
Qushi Vyas,46,Female,qushi.vyas23@gmail.com,9316774191,7,8,5,3994094,4842990,18,1,B.E.,0,Shortlisted
Aadi Bhalla,48,Male,aadi.bhalla80@gmail.com,7874052983,7,6,5,1017126,1260545,11,2,B.E.,0,Shortlisted
Kala Dutt,32,Female,kala.dutt98@yahoo.com,9990873810,3,4,4,2262418,2815745,6,4,B.E.,0,Shortlisted
Ekapad Wable,37,Male,ekapad.wable83@gmail.com,6152695041,0,0,2,558037,919130,3,0,MBA,0,Rejected
Laban Dhar,54,Male,laban.dhar60@outlook.com,6939632744,5,15,2,2129446,2595002,14,3,B.E.,0,Shortlisted
Tejas Barad,46,Male,tejas.barad36@gmail.com,6983007008,9,11,4,3530799,4778420,12,5,B.E.,0,Shortlisted
Yachana Dhingra,44,Female,yachana.dhingra56@yahoo.com,6218102432,3,1,2,801973,1139265,1,1,B.E.,4,Rejected
Unni Pandit,36,Female,unni.pandit82@gmail.com,8404614753,0,1,0,145859,226924,3,1,B.E.,2,Rejected
Deepa Narasimhan,48,Female,deepa.narasimhan76@outlook.com,6683950823,3,1,2,163875,304394,4,0,MCA,1,Rejected
Ekaja Samra,35,Female,ekaja.samra96@gmail.com,8314315654,0,1,1,780840,1160656,1,1,MSc,2,Rejected
Reyansh Chad,26,Male,reyansh.chad90@outlook.com,8398128099,2,1,1,787994,1541475,3,0,BSc Computer Science,2,Rejected
Yatin Batra,29,Male,yatin.batra48@gmail.com,8639746139,0,2,2,773817,1098202,2,1,BSc Computer Science,2,Rejected
Yutika Dara,22,Female,yutika.dara21@gmail.com,7402070209,10,15,3,2060237,2361762,19,2,M.Tech,0,Shortlisted
Vasana Basak,30,Female,vasana.basak71@yahoo.com,9642680432,5,11,2,2519241,3392683,13,3,B.E.,0,Shortlisted
Kavya Kaul,21,Female,kavya.kaul99@outlook.com,6224461745,3,3,0,916934,1514759,3,0,M.Tech,0,Rejected
Chakradev Modi,48,Male,chakradev.modi53@yahoo.com,6299447799,8,10,3,2372461,2656892,14,5,M.Tech,0,Shortlisted
Eta Lata,37,Female,eta.lata67@yahoo.com,9180769959,3,3,1,41587,59113,1,1,MCA,0,Rejected
Faras Kibe,45,Male,faras.kibe66@yahoo.com,9760443537,9,14,4,818657,1112980,7,3,M.Tech,0,Shortlisted
Ekalinga Tank,27,Male,ekalinga.tank25@gmail.com,6563093726,4,5,3,1324970,1472777,19,5,B.E.,0,Shortlisted
Nidra Misra,51,Female,nidra.misra95@yahoo.com,7778732062,1,2,0,198912,349980,0,1,BCA,0,Rejected
Peter Kant,25,Male,peter.kant75@outlook.com,6701215569,4,10,2,3835954,5111333,15,5,BSc Computer Science,1,Shortlisted
Anay Rai,32,Male,anay.rai41@yahoo.com,9919512091,3,3,2,962874,1366665,2,0,BCA,0,Rejected
Nirja Kala,30,Female,nirja.kala31@yahoo.com,9299231484,3,1,1,257439,508827,4,1,B.E.,0,Rejected
Radha Nigam,42,Female,radha.nigam9@gmail.com,7861922636,7,5,2,2527844,3117837,7,3,BSc Computer Science,0,Shortlisted
Abha Zachariah,24,Female,abha.zachariah66@yahoo.com,8359867563,1,2,2,162060,197085,0,1,B.E.,0,Rejected
Oviya Tara,47,Female,oviya.tara28@outlook.com,9150110727,6,15,5,3815125,4760088,7,2,M.Tech,0,Shortlisted
Urishilla Sheth,36,Female,urishilla.sheth53@outlook.com,7336191635,9,4,4,3025650,3590297,19,2,BSc Computer Science,0,Shortlisted
Quincy Bir,26,Male,quincy.bir79@outlook.com,9421646922,5,12,4,2534010,3040986,11,5,M.Tech,0,Shortlisted
Gaurangi Babu,42,Female,gaurangi.babu63@outlook.com,9350908081,1,1,0,448061,551262,0,0,M.Tech,1,Rejected
Mohammed Bhardwaj,27,Male,mohammed.bhardwaj78@yahoo.com,7176453266,0,3,2,544256,1051106,1,0,B.E.,1,Rejected
Manya Sampath,30,Female,manya.sampath56@gmail.com,6311975602,3,3,2,225052,414997,4,0,MCA,1,Rejected
Chaitaly Sahota,53,Female,chaitaly.sahota61@gmail.com,9170422852,0,3,1,643174,1262896,4,0,MBA,0,Rejected
Ranbir Chauhan,47,Male,ranbir.chauhan90@yahoo.com,7372053008,1,3,2,961941,1486342,3,0,MBA,1,Rejected
Ojas Sinha,38,Male,ojas.sinha85@outlook.com,8926314481,3,0,2,450480,592653,0,0,MSc,0,Rejected
Aarnav Golla,41,Male,aarnav.golla29@gmail.com,8340196684,9,14,5,1996359,2690126,16,5,BSc Computer Science,0,Shortlisted
Netra Sarin,54,Female,netra.sarin70@yahoo.com,6211051293,2,2,2,150780,293336,0,0,Diploma,2,Rejected
Shivansh Nagarajan,29,Male,shivansh.nagarajan2@gmail.com,7150074090,3,3,0,630403,982650,0,0,Diploma,2,Shortlisted
Bakhshi Krishnan,40,Male,bakhshi.krishnan77@gmail.com,6314006886,3,1,1,667926,1267654,3,0,MBA,2,Rejected
Jhalak Date,49,Female,jhalak.date81@outlook.com,6283142544,9,14,3,3708537,5018711,9,5,M.Tech,0,Shortlisted
Hemal Muni,54,Female,hemal.muni10@gmail.com,9287070298,0,2,0,57722,80407,1,1,BSc Computer Science,3,Rejected
Yash Rajan,33,Male,yash.rajan76@yahoo.com,7360206729,2,0,0,723618,1440442,0,1,MBA,0,Shortlisted
Logan Mutti,51,Male,logan.mutti40@outlook.com,7692156187,1,0,0,656843,1171818,0,1,MCA,2,Rejected
Utkarsh Issac,28,Male,utkarsh.issac35@outlook.com,8714106355,3,4,3,1156397,1448675,20,2,B.E.,0,Shortlisted
Zashil Sethi,45,Male,zashil.sethi71@gmail.com,9919103359,9,6,3,2851984,3326491,9,5,MCA,0,Shortlisted
Guneet Bhatt,42,Male,guneet.bhatt83@yahoo.com,6253040793,3,3,2,982472,1275675,4,1,BSc Computer Science,2,Rejected
Ati Dey,28,Female,ati.dey96@yahoo.com,9264888478,2,3,2,32790,46228,4,1,BCA,1,Rejected
Maanav Barad,32,Male,maanav.barad62@outlook.com,8856618032,4,12,4,3148198,3928368,12,1,M.Tech,0,Shortlisted
Gautam Maharaj,27,Male,gautam.maharaj39@yahoo.com,7265984050,5,14,5,3782430,5195834,12,4,B.E.,0,Shortlisted
Rishi Merchant,32,Male,rishi.merchant55@outlook.com,7898580725,2,0,2,311649,422288,0,1,M.Tech,0,Rejected
Krishna Bail,30,Female,krishna.bail62@yahoo.com,8355663764,2,3,0,21788,27845,0,0,BSc Computer Science,3,Rejected
Nitara Seth,29,Female,nitara.seth62@gmail.com,7924871219,5,9,2,3822032,4917656,12,5,B.E.,0,Shortlisted
Aishani Narayan,24,Female,aishani.narayan56@yahoo.com,7659743115,1,2,2,375099,725017,3,1,B.E.,3,Rejected
Mahika Gara,42,Female,mahika.gara22@yahoo.com,7644461794,4,13,2,4417447,5465604,14,5,B.E.,0,Shortlisted
Vrishti Deep,22,Female,vrishti.deep62@gmail.com,9726364260,2,3,2,639491,1010906,2,1,MSc,3,Rejected
Ekaja Dasgupta,44,Female,ekaja.dasgupta50@yahoo.com,6125601855,10,10,4,3516679,4702460,11,1,MCA,0,Shortlisted
Hemangini Mody,29,Female,hemangini.mody36@gmail.com,8340950026,7,12,4,3420089,4220651,8,5,BSc Computer Science,0,Shortlisted
Edhitha Korpal,39,Female,edhitha.korpal53@outlook.com,6734605201,4,11,4,1813895,2133286,7,2,B.E.,0,Shortlisted
Ekiya Jha,41,Female,ekiya.jha2@outlook.com,6960240705,6,9,5,3484363,4680864,7,3,M.Tech,0,Shortlisted
Januja Kapoor,35,Female,januja.kapoor37@outlook.com,9250767854,9,5,2,1258153,1634569,16,2,MCA,0,Shortlisted
Sudiksha Basak,48,Female,sudiksha.basak55@gmail.com,7300258090,2,3,2,98263,152887,1,0,B.E.,0,Shortlisted
Aarnav Sunder,21,Male,aarnav.sunder84@gmail.com,8138028724,3,6,4,3500436,4712291,8,4,M.Tech,0,Shortlisted
Divya Chaudry,32,Female,divya.chaudry23@outlook.com,6671971944,5,5,4,2362492,2617164,15,4,M.Tech,0,Rejected
Logan Dayal,44,Male,logan.dayal98@outlook.com,8959604648,8,15,4,3913525,5079710,14,1,BSc Computer Science,0,Shortlisted
Quincy Biswas,30,Male,quincy.biswas52@outlook.com,8409221571,1,1,0,220835,390136,4,1,BSc Computer Science,2,Rejected
Triveni Kant,48,Female,triveni.kant56@outlook.com,8717907971,6,8,4,920492,1251908,20,3,B.E.,0,Shortlisted
Joshua Som,36,Male,joshua.som15@gmail.com,8312364705,5,12,3,2166022,2415901,13,2,M.Tech,0,Shortlisted
Aarush Saxena,39,Male,aarush.saxena48@outlook.com,6661882428,9,10,5,2583483,3057972,18,5,M.Tech,0,Shortlisted
Neel Sengupta,36,Male,neel.sengupta78@yahoo.com,9316887925,0,1,0,983602,1848266,2,0,M.Tech,0,Rejected
Benjamin Goel,36,Male,benjamin.goel30@yahoo.com,7333115866,0,0,0,954966,1264873,2,1,M.Tech,2,Rejected
Avi Keer,37,Male,avi.keer76@outlook.com,7441033161,2,3,2,784929,1089580,0,0,MCA,0,Rejected
Hemani Sandhu,28,Female,hemani.sandhu15@gmail.com,6900590383,3,0,2,555793,805471,0,0,BCA,1,Rejected
Andrew Kara,53,Male,andrew.kara40@yahoo.com,8385443809,1,0,2,872107,1104776,4,0,B.E.,4,Rejected
Damini Nigam,40,Female,damini.nigam28@outlook.com,6123718120,3,0,0,976380,1551168,3,0,BSc Computer Science,3,Rejected
Faris Srinivas,30,Male,faris.srinivas85@yahoo.com,9804046319,2,0,1,317267,555670,0,0,BSc Computer Science,3,Rejected
Reva Palan,41,Female,reva.palan76@outlook.com,7575840268,0,2,2,15734,22520,3,0,Diploma,3,Rejected
Maanav Kara,41,Male,maanav.kara5@gmail.com,6933723665,3,2,2,108039,213180,0,1,Diploma,1,Rejected
Osha Khare,48,Female,osha.khare50@outlook.com,7490887024,1,2,1,448842,547633,0,0,B.E.,2,Rejected
Charles Sant,21,Male,charles.sant23@outlook.com,6598723517,6,14,3,3836995,4469247,15,5,B.E.,0,Shortlisted
Madhavi Yogi,29,Female,madhavi.yogi27@yahoo.com,7818172974,9,14,3,984608,1377735,18,1,MCA,1,Shortlisted
Ganga Wali,38,Female,ganga.wali71@gmail.com,7945351545,2,3,2,425546,586159,2,0,MBA,0,Rejected
Kashvi Kant,50,Female,kashvi.kant2@gmail.com,6232925143,2,0,1,423420,589644,3,1,MSc,3,Rejected
Samaksh Doshi,51,Male,samaksh.doshi81@yahoo.com,7650037871,0,2,2,714738,861405,3,1,BCA,0,Rejected
